434,130,47,65
441,130,52,67
454,134,57,81
457,131,71,98
452,131,75,105
447,194,63,86
443,254,48,70
432,232,39,56
420,175,35,53
380,136,50,60
380,160,69,34
394,215,62,42
393,222,57,56
390,216,38,66
372,203,39,68
365,206,46,67
381,215,51,67
466,226,56,54
437,212,60,50
381,208,36,60
533,199,55,52
374,217,41,64
475,241,38,49
481,214,63,54
328,224,68,59
496,239,67,44
492,233,30,56
430,192,47,53
469,77,45,66
488,199,41,55
485,270,52,51
400,191,52,60
388,153,48,59
414,191,76,44
429,189,60,57
442,194,81,64
432,173,100,42
435,174,99,48
449,195,64,90
486,201,57,80
491,155,77,22
474,108,70,41
391,71,81,69
416,206,106,61
445,250,79,45
423,261,73,49
445,142,90,74
349,142,91,46
340,161,85,82
485,198,104,30
435,172,93,59
472,140,47,74
471,137,71,73
476,121,55,65
470,75,67,74
456,110,89,67
459,165,86,87
460,158,75,74
455,183,65,93
448,200,60,80
443,134,62,68
